-21.2,1.2,9.4,-24.8,-0.2,11.8
-21,2.4,12.4,-19.8,4.6,18
-25.8,-1.4,6,-23.4,-0.6,18.8
-25,-3.6,6.6,-24.4,-4.4,8.4
-25.8,-3.4,4.4,-23.8,-14.6,7.2
-30.8,-7,0.4,-26,-13.2,10.4
-24.2,-2.6,8.8,-24.2,7,9.4
-22.2,0.4,7.4,-25.6,4.4,9.4
-23.8,0.6,8.6,-23.8,-2,9.6
-24,-3.6,8.6,-26.4,-1.8,7.2
-26,-6.2,7.4,-29.8,-3.2,8.4
-21.6,-2.2,13.8,-24.6,2.2,18.6
-14.6,6.6,18.6,-17.6,14,14.4
-11,12,21.4,-13.8,12,22.6
-20,-0.2,7.4,-24.4,-7.2,17.8
-29.6,-7.8,6.2,-30.8,-11.4,7.4
-16.6,5.2,15,-19.2,2.6,9.6
-14.2,4.8,12.8,-20.4,5.8,6.4
-21.4,-3.2,12,-27,2,3.2
-11.4,4.4,19.8,-17.8,-5.6,17.6
-9.2,8,18.4,-17.2,-1.2,12.6
-14.6,2.2,12,-25.4,6.2,1.4
-20,-2.8,6.2,-35.2,-5.6,-6.8
-17.4,-1.4,9.6,-27.6,-8.4,1.4
-1.6,14.8,25.6,-11.4,16.6,19.4
-4.6,12.2,20.6,-16,12.2,19
-9.8,7,13.6,-20.8,6.8,19.6
-19.8,-2.4,6.8,-27,-6.6,13.4
-13.8,4.4,16.6,-20,2.4,16
-10.6,4.6,15,-20.8,15,27
-19.4,-2.2,7.8,-27,5.4,19
-21.4,-1.4,6.2,-27.4,-5.2,5
-15.4,0.2,14,-27,10.8,6.6
-12.4,0.4,9.8,-29.6,4.8,4.8
-12.8,2,8.6,-23.4,-1,11.4
-10.2,4.8,13,-19,1,21.6
-14.4,2,10.2,-26.2,-5.6,11.8
-9.2,9.4,22,-15.2,11.2,22
-3.2,10.6,21.8,-12,5,19.2
-8.6,3.2,15,-20.2,12.6,13.4
-17,-1.2,9.8,-25.4,6.2,14
-14.6,1.6,12.8,-22,3.6,17.4
-13.4,2.2,12.2,-23.2,-2.2,12
-13.2,1.6,12,-25,-0.2,1.2
-15.6,-4.6,8,-28.8,-0.6,2.4
-14.2,-3.8,9.6,-28.2,-1,6.4
-12.2,2,11.6,-22.4,6.2,8.6
-4,10.2,17.8,-15.6,12.4,12.8
-7.4,8,16.6,-18,13.4,11
-5,10.2,21.2,-15.2,5.8,12.6
-2,13,23.8,-12,10.6,22.2
-2.2,12.4,19.6,-12.2,19.6,35.6
-11.2,1.6,8,-21.8,1,30
-14.4,-0.4,8.8,-23.4,2.2,16.6
-9,5.2,21,-18.8,11.4,9.2
-6,6,20.4,-16.2,1.2,18.2
-12.4,2.4,11.4,-22.4,-7.2,12.6
-14.2,3.2,10.6,-23.6,4.8,13.6
-13.8,3,12.4,-20.6,13.4,14.4
-6.4,11.6,18.8,-13.8,19.6,14.8
-10.6,6.6,12.4,-17.8,15,16.8
-12.8,5.2,8.4,-17.4,-2.8,16.8
-8,8,16,-15.8,5,14.4
