-71.4,-49.8,-41.4,-24.6,-26.2,-45.2
-76.4,-62.8,-41.4,-29.6,-39.8,-51.8
-67.8,-54.8,-28.2,-21.8,-16.4,-23.4
-60.2,-44.2,-22,-17.6,-12.8,-30.2
-53.4,-39,-17.6,-10,2.6,-33
-53.8,-37.2,-19.4,-3.8,-2.4,3.2
-58.8,-40.8,-17.2,-7.8,4.2,-8.2
-57,-41,-23.4,-17.2,8.4,-39.2
-73.2,-59.2,-42.4,-28.6,-27.2,-47
-77.8,-64,-40.4,-25.4,-23,-39.4
-60,-41.4,-24.8,-6.8,-15.8,0
-57.8,-42,-23.4,-10.4,-3,-6.4
-70,-53.4,-34,-19.8,-0.6,-34
-78.2,-62,-46.2,-30.4,-20.6,-40.4
-78,-61.6,-41.8,-26.2,-23,-49.2
-62,-44.6,-27.4,-12.2,-7,-34.4
-64.4,-51.2,-27.2,-15.2,4.8,-36.2
-64,-51.8,-26,-11,-3.8,-21.6
-64.4,-49.4,-27,-12,-3.2,-2.2
-59.4,-46,-22.6,-8.8,-17.6,-12.6
-62.6,-48.6,-26.4,-9.8,-13.2,-32.8
-63,-48.6,-24.4,-6,-2.6,-4.6
-61.2,-50.2,-22.4,-8.8,-6,4
-62,-48.8,-21.6,-14.8,-6.8,-42.8
-53.8,-35.6,-15,-5.6,29,-38
-55.4,-47.4,-22,-8,-3.2,-14.4
-70.8,-58,-32.4,-17.6,-19.6,-33.8
-64.2,-52,-23.8,-16.4,-13.6,-48.8
-54.8,-45,-17,-11.2,5.8,-43.6
-63.8,-48.8,-28.8,-13.4,-6.6,-35.2
-67.2,-49.8,-26.6,-9,-12.2,-23.4
-54.8,-40.8,-16,1.6,10.4,-3
-53.6,-38,-16.8,-1.8,2,6.2
-58.2,-44.6,-23.6,-10.2,-1.8,-18.4
-66.8,-61.4,-33.6,-23.2,-4.2,-38.8
-65.8,-57.6,-25,-16.2,-1,-23.2
-55.4,-44.2,-16.4,-4.2,6.2,-5.2
-55.2,-43.6,-18,-9.4,2.8,-15.6
-54.2,-45.2,-16.4,-12.2,7.2,-39
-50.8,-43.8,-14,-2,6.2,-11.2
-44.4,-33.6,-10.8,4.4,2.8,2.4
-51.8,-40.4,-20.8,-6.4,1,-31
-68.4,-60.2,-37.2,-24,-24.2,-53.4
-69.4,-57,-34.6,-25,-14.2,-51.6
-57.4,-44.8,-19,-7.6,5.8,-18.2
-46.6,-35.8,-14.2,4.8,8.8,14.6
-53,-43.8,-20.4,-9.8,15.2,-14
-61.2,-50.2,-19.6,-15.4,26.2,-32
-55.2,-42.6,-14.4,-5,3.2,-4.4
-53.6,-42.4,-22.4,-8,-33.6,-20.6
-61.6,-50.8,-29.4,-15.4,-7.2,-40.4
-64.6,-53,-30,-15.6,15,-31.6
-70,-57,-33.2,-17.8,-14.8,-29.6
-59.8,-47.8,-22.4,-11.6,-8.8,-31
-54.8,-44.4,-23.2,-10.4,-2.6,-16.4
-65.8,-57.4,-33.4,-18.6,2.6,-26.4
-72,-63,-35.6,-24.8,6.8,-39.6
-66.6,-53,-27.8,-18.8,-7.4,-33.6
-48.2,-34.4,-12.4,4.8,-3.8,-8.4
-50.8,-43.2,-18.8,-5.2,7.6,-15.6
-57.4,-45.6,-22,-8.6,-4.4,-14.8
-49.8,-34.6,-8.8,9.2,23.2,21
-50.6,-37,-18.4,4,6.8,2.4
-62.4,-45.6,-32.6,-8.6,-14.2,-26.8
-64.6,-49,-28.4,-7.4,-4.6,-9.2
-55.8,-41,-12,3.8,19,8.4
-48.2,-36.8,-9.4,-1,32,-20.8
-59,-52.6,-29.4,-11.4,-9.6,-36
-65.6,-53.8,-35.6,-14.4,-29.6,-49.8
-59.6,-43.4,-22.8,-2.6,-10.6,-26.6
-49.2,-35.2,-12.8,4,-1.2,-3.4
-44.2,-35.6,-11.8,6,2.4,-22.2
-51.6,-43.8,-18.8,-0.2,-4.4,-23.2
-54.8,-43.8,-18.8,-3.6,14.2,-19.4
-56.4,-46.8,-13.6,0.4,11.4,-2
-61.4,-48.4,-21.4,0.2,-8,5.6
-54.4,-43.4,-20.4,0.8,-9,-8.8
-53.6,-45.4,-16.8,0.4,-1,-7.4
-50.8,-38.4,-10.8,4,5.2,3.6
-45.2,-39.4,-10.6,-3.8,10.6,-25.4
-58.6,-52.6,-20,-7.8,4.6,-22.4
-63.2,-50,-23,-10.2,-4.2,-23.2
-62,-52.6,-16.8,-12.4,14.4,-22.6
-54.4,-43,-7.2,2.8,34.2,-19.2
-46.6,-33.6,-14.8,9,-0.4,-5
-63.6,-53.4,-29.4,-10.6,-21.4,-14
-62.8,-54.8,-22.6,-8.8,-14.8,-30.8
-63,-53.4,-21.2,-10.4,-11,-36.4
-62.2,-50.6,-20,-4.2,5.2,-9.2
-64.4,-50.8,-25.8,-7,-2.4,-21.4
-69,-55,-30,-11.8,-17,-27.8
-63.8,-51.8,-20,-2.6,7.6,-3
-50.2,-41.6,-9,4.8,24,0.6
-61.4,-51.2,-26,-6.4,-20.8,-29.8
-70.4,-61.2,-31,-12.2,-23.8,-30.6
-70.2,-61,-27.2,-12,-4.4,-33.4
-72.2,-61.8,-28,-15,-5.6,-38.4
-55.8,-45.4,-10.2,3.2,6.6,-4.4
-58.8,-46.6,-16.2,1,-1.2,6
-63,-53,-15.8,-3.6,10.4,-11.4
-56.8,-50.8,-13.6,-2.8,10.8,-18.6
-65.6,-55.8,-24.8,-11,-9.8,-26
-65.2,-54.8,-20.6,-5.2,-4.8,-20.4
-64.4,-57.6,-19,-4.8,13.6,-24.6
-71.8,-63.4,-24.8,-14.6,1.2,-24.2
-64.6,-53.6,-20.6,-5.8,-8.2,-9.6
-65.6,-56,-26.6,-9,-7.4,-2.8
-69.2,-61.6,-30.4,-17.4,-13.8,-32.6
-63,-51.2,-20.4,-8.8,-4.6,-23
-53.4,-45.6,-13.8,-0.2,-2.2,-28
-71.8,-65.2,-34,-16.4,-10,-51
-76.8,-63,-34.2,-11.6,-8,-14.2
-59.2,-47.8,-14.4,3.8,2.2,26.6
-48.4,-38.8,-10.8,9.6,5.4,16.4
-69,-58,-32.6,-17.8,-20.4,-71.4
-76,-65,-36.2,-22,-29,-63.2
-80,-64,-37.6,-20.6,-8.2,-33.8
-74.8,-56.4,-32.2,-16,-3.6,-15
-67,-56.6,-26.8,-12.4,-15,-27
-75.8,-63.8,-32.4,-18.6,-15.6,-51.6
-71,-56.6,-24.4,-9.4,-8.8,-22.4
-63.4,-50,-21.4,-7,3,0.8
-62.8,-46.4,-19.4,-3.2,-9,0.4
-54.6,-43.8,-15.6,2,5.8,-7
-66.8,-57.4,-30.2,-13.4,-15.8,-35.6
-67.8,-53.2,-27,-9.6,-19.8,-31
-58.8,-46,-21,-4.4,-6.2,-22.6
-59.8,-46.4,-21,-2.8,-7.8,-19.4
-61.6,-50.6,-20.6,-7.4,6.2,-10.4
-63.4,-56.2,-23,-13.6,-0.2,-41.6
-63.6,-54.8,-27.4,-15.8,-14.6,-46.2
-71,-55,-32,-14.8,-6.4,-19
-66.8,-51.4,-25.8,-10,4.8,-19.4
-60.8,-47.8,-21.8,-7.4,-2.4,-26.6
-57.4,-46.4,-17.6,-3.6,-3.8,-14.6
-67.2,-56.8,-27,-11.6,-1.4,-13.6
-81.2,-72,-40.4,-25.6,-7.6,-30.2
-84.2,-72.8,-46.6,-33.4,-27.4,-57.2
-63.6,-50.4,-27.6,-13.2,-11.8,-42
-61.4,-48.2,-28.4,-9.4,-9,-32.2
-66.2,-49.2,-29.8,-9.2,-10.8,10.4
-59.8,-49,-23.6,-5.8,6.6,15.2
-64.8,-55.4,-29.6,-14.2,-5.4,-42.4
-69.6,-57.8,-37.2,-21.8,-30.8,-49.6
-73,-61.2,-40.4,-21.4,-32.4,-41.6
-69.6,-55.2,-31.2,-9.2,-16.2,-17
-59,-44.4,-23.8,-4.8,1.4,-12.6
-54.8,-42.6,-20.6,0.8,20,-4
-61.4,-51.4,-30.4,-10,-9,-18.8
-71.2,-58.6,-38.4,-22.2,-18.6,-51
-70.2,-59,-37.6,-19.2,-15.2,-34.6
-74,-59.6,-38.8,-18,-13.4,-22.8
-73.4,-59.2,-39,-18,-6.6,-27
-70.6,-57.2,-38.8,-16.8,-31.2,-16.4
-74.2,-62.6,-38.6,-22.6,-25.2,-31.2
-73,-61,-32.4,-17.6,-2,-33.4
-64,-52.4,-29.2,-8.2,-4,-1.2
-62,-50.2,-24.6,-1.8,12.4,-16.6
-64,-54.2,-31.4,-11.2,-17.8,-39
-66.8,-56.2,-31.6,-14.2,-21,-35.4
-57.6,-49,-18.6,-5.2,18.2,-35
-56.8,-48.4,-26.8,-7,-6.8,-32.6
-68.2,-57.2,-37.6,-16.4,-24,-26.8
-63.6,-58,-23.4,-13,-10,-34
-55.2,-50.4,-16.2,-4.8,6.4,-22.2
-60.8,-55.2,-26.4,-11,1.6,-26
-70.2,-61.6,-37.8,-17.4,-29.6,-33.6
-69,-57.4,-35.6,-12.2,-4.8,-27.4
-67.8,-54.2,-36,-7.8,-10.2,-25
-67.2,-57.2,-36.2,-14.6,-26,-35.6
-64.2,-54.4,-34.2,-14.6,-11.2,-54.8
-58.4,-47,-25,-2.8,-8.8,-24.6
-50.8,-44,-18,-2.6,10.8,-28.2
-56.8,-47.2,-23.2,-4,10.8,-25
-50,-37,-18.4,9.4,-1.4,16.6
-53,-43.2,-25,2.4,-14,-6.6
-67.6,-54.6,-33.6,-13,-13.2,-58.2
-60.2,-44.4,-28.6,-5,-19.8,-42.4
-59.8,-49,-31.8,-3.4,-14.6,-24.8
-69.6,-56,-38.8,-8.2,-13.8,-30.6
-66.4,-52,-32,-5.4,-4.2,-26.2
-62,-51.6,-28.6,-3.6,-6.4,-13.2
-59.2,-45,-28,-1,-1.4,-15
-69.8,-56.2,-35.2,-13.6,-16.2,-40.8
-68.8,-58.2,-30.8,-9,-12,-13.8
-54.8,-42.8,-17.4,2,10.6,-28
-52.8,-39.2,-17,1.6,8.6,-29
-55.6,-42.4,-24,0.4,-26.8,-27.6
-53.8,-42,-17.8,6.8,-3.4,-5.2
-48.6,-33.6,-13.6,17,7.4,14.2
-42.8,-27.4,-12.2,20,7.6,18.8
-51,-38.6,-23.2,4.8,-3,-6
-68.6,-61,-39.4,-19.8,-39.4,-75.4
-61.8,-52.6,-24.6,-7.4,-21.2,-64.4
-43,-32.2,-10.6,9.6,1,-33.2
-55.4,-49.2,-26.4,2.4,-5.2,-29
-59.6,-51.6,-27.6,5.4,-3.4,-16
-54,-45.6,-20.8,8.6,2.4,1.8
-37,-27.2,-1.8,24.6,15.4,49.8
-40.2,-36.2,-18.2,6.4,-3.6,-10.2
-65.4,-58.2,-34.6,-15.2,-14,-73.8
-61.4,-54.2,-29.8,-8.4,-7.2,-51.2
-54.2,-45,-22.6,2.2,-3.8,-22.6
-54.4,-44.8,-27,2,-8.8,-10.4
-58.4,-50.6,-25.8,-1.2,-0.4,-4.8
-45.8,-40,-19,4,-5.6,-6.6
-51.2,-48.8,-30.8,-5,-27.6,-36.8
-49.8,-44.2,-23.8,-2,-11,-36.8
-51.6,-44.2,-29,-4.6,-10.2,-28
-64,-56.6,-36.2,-13.4,-2.6,-27.8
-46.4,-39.8,-16.2,3.8,5,-2
-47,-42.4,-23.6,-4,-9.4,-30
-57,-49.4,-29.2,-9.8,2.8,-39.8
-46,-40.8,-20.2,1,-9.2,-9.2
-47,-43.8,-24.2,-3.4,-17.4,-10.6
-47.6,-40,-23.4,-2.8,-10.2,-14.4
-50.2,-49.4,-29.6,-16,-16.6,-42.8
-57.8,-56.6,-30.2,-16.2,-14.6,-31.4
-56.4,-55.6,-28,-15.2,-14.2,-34.8
-51,-49,-21.8,-9.2,8.6,-36.8
-44,-39.6,-20,-0.8,12,-29.6
-46.2,-42.6,-24,-4.2,-23.6,-13.6
-61,-58.8,-36.8,-17.2,-21,-17.4
-67.2,-62.8,-37,-22.6,-23,-42.2
-56.4,-56.2,-29,-14.2,-30,-35
-43.2,-41.2,-15,0.4,-6,-22.6
-43,-40.2,-19.8,-3.2,-7.8,-18.4
-53,-50.6,-23.4,-14,-25.6,-22.2
-47.2,-46.2,-15.6,-5.6,-1.4,-7.4
-46.2,-47.8,-17.2,-5.8,14,-2.2
-53.6,-51,-27,-19.4,14.4,-48.6
-53.4,-48,-28.2,-16,-15.2,-53
-49,-46,-21.6,-9.4,-20.4,-17.6
-47.8,-48.2,-26.6,-14.8,-8.8,-40.6
-60.4,-58.6,-33.2,-22.2,-21.2,-51
-57.8,-56,-25.2,-16.6,-7.2,-28
-49.8,-46.8,-11.2,-3,7.8,-4.8
-33.6,-31.4,2.8,13.4,10.8,35.6
-43,-45.2,-11.8,-2,10.8,-6.2
-52.4,-50.6,-19.2,-8.6,11.4,-27.6
-47.8,-45.2,-19.8,-10.8,-13.4,-48.8
-44.2,-43,-19.6,-9.8,-15.4,-46.8
-47,-44.6,-19.8,-6.8,-18,-26.2
-51.4,-48.6,-24,-9.6,-19,-22.2
-51,-49.2,-22,-6.6,-1.6,-8.2
-49,-43.4,-14.2,-1,10.8,11
-41.8,-36.8,-13.8,4,17.2,18.8
-52,-51.6,-27.4,-13,-5.6,-43.4
-64,-56.4,-32,-16.8,-23.6,-48.8
-56.8,-47.2,-28,-10.4,-20.8,-27
-59.2,-54,-32.6,-18.6,-40,-40.6
-53.8,-46.2,-21.6,-12.2,-25.2,-31
-41.2,-35.6,-13.2,-1.8,-6.8,-20.4
